,Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Talent
0,#Gadhvi (He thought he was Gandhi),-2019.0,109,Drama,7.0,8,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid,Gaurav Bakshi Rasika Dugal Vivek Ghamande Arvind Jangid
1,#Homecoming,-2021.0,90,"Drama, Musical",6.0,,Soumyajit Majumdar,Sayani Gupta,Plabita Borthakur,Roy Angana,Soumyajit Majumdar Sayani Gupta Plabita Borthakur Roy Angana
2,#Yaaram,-2019.0,110,"Comedy, Romance",4.4,35,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor,Ovais Khan Prateik Ishita Raj Siddhant Kapoor
3,...And Once Again,-2010.0,105,Drama,6.0,,Amol Palekar,Rajat Kapoor,Rituparna Sengupta,Antara Mali,Amol Palekar Rajat Kapoor Rituparna Sengupta Antara Mali
4,...Aur Pyaar Ho Gaya,-1997.0,147,"Comedy, Drama, Musical",4.7,827,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor,Rahul Rawail Bobby Deol Aishwarya Rai Bachchan Shammi Kapoor
5,...Yahaan,-2005.0,142,"Drama, Romance, War",7.4,"1,086",Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma,Shoojit Sircar Jimmy Sheirgill Minissha Lamba Yashpal Sharma
6,.in for Motion,-2008.0,59,Documentary,6.0,,Anirban Datta,,,,Anirban Datta   
7,?: A Question Mark,-2012.0,82,"Horror, Mystery, Thriller",5.6,326,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia,Allyson Patel Yash Dave Muntazir Ahmad Kiran Bhatia
8,@Andheri,-2014.0,116,"Action, Crime, Thriller",4.0,11,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon,Biju Bhaskar Nair Augustine Fathima Babu Byon
9,1:1.6 An Ode to Lost Love,-2004.0,96,Drama,6.2,17,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni,Madhu Ambat Rati Agnihotri Gulshan Grover Atul Kulkarni
10,1:13:7 Ek Tera Saath,-2016.0,120,Horror,5.9,59,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani,Arshad Siddiqui Pankaj Berry Anubhav Dhir Hritu Dudani
11,100 Days,-1991.0,161,"Horror, Romance, Thriller",6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey,Partho Ghosh Jackie Shroff Madhuri Dixit Javed Jaffrey
12,100% Love,-2012.0,166,"Comedy, Drama, Romance",5.7,512,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh,Rabi Kinagi Jeet Koyel Mallick Sujoy Ghosh
13,101 Ratein,-1990.0,0,Thriller,6.0,,Harish,Saraswati,Disco Shanti,,Harish Saraswati Disco Shanti 
